lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan;
3;2010;1;180;;31.90;Memenuhi;
3;2010;2;365;;26.10;Memenuhi;
3;2010;3;10000;;2016;Memenuhi;
3;2010;4;2;;0.022;Memenuhi;
3;2010;5;24;;0.62;Memenuhi;
3;2010;6;235;;27.72;Memenuhi;
3;2010;7;160;;48.28;Memenuhi;
3;2010;8;2;<; 0.2;Memenuhi;
3;2010;9;230;;195.56;Memenuhi;
3;2010;10;60;;62.6;Tidak Memenuhi;
3;2010;11;-;;32.2 - 34.1;Memenuhi;
3;2010;12;-;;0.4 - 1.3;Memenuhi;
3;2010;13;-;;56.1 - 57.4;Memenuhi;
3;2010;14;-;;Brt - Slt;Memenuhi;
3;2010;15;-;;Cerah;Memenuhi;
;;;;;;;
